
  iter  continuity  x-velocity  y-velocity           k       omega          cl          cd     time/iter
   150  7.4697e-04  5.2156e-08  2.8281e-08  3.1285e-04  5.5581e-05  5.5053e-01  7.6657e-02  0:13:46  850
   151  7.0513e-04  4.2797e-08  2.7537e-08  3.0875e-04  5.3181e-05  5.5055e-01  7.6657e-02  0:13:50  849
   152  7.0173e-04  3.9397e-08  2.7765e-08  3.0446e-04  5.0824e-05  5.5058e-01  7.6658e-02  0:13:53  848
   153  7.1744e-04  3.9339e-08  3.0399e-08  3.0010e-04  4.8747e-05  5.5060e-01  7.6658e-02  0:13:55  847
   154  7.5890e-04  4.0669e-08  3.3076e-08  2.9564e-04  4.6894e-05  5.5062e-01  7.6659e-02  0:13:56  846

  iter  continuity  x-velocity  y-velocity           k       omega          cl          cd     time/iter
   155  7.8275e-04  4.3026e-08  3.4627e-08  2.9131e-04  4.5169e-05  5.5064e-01  7.6659e-02  0:13:57  845
   156  8.0333e-04  4.5873e-08  3.4718e-08  2.8778e-04  4.3614e-05  5.5066e-01  7.6659e-02  0:13:58  844
   157  8.0158e-04  4.9183e-08  3.3731e-08  2.8425e-04  4.1924e-05  5.5067e-01  7.6660e-02  0:13:58  843
   158  8.0004e-04  4.9390e-08  3.1497e-08  2.8065e-04  4.0314e-05  5.5069e-01  7.6660e-02  0:13:58  842
   159  7.7122e-04  4.9605e-08  2.8143e-08  2.7723e-04  3.8575e-05  5.5071e-01  7.6660e-02  0:13:58  841
   160  7.1283e-04  4.8471e-08  2.4870e-08  2.7340e-04  3.6817e-05  5.5073e-01  7.6661e-02  0:13:57  840
   161  6.5009e-04  4.5529e-08  2.1941e-08  2.6936e-04  3.5139e-05  5.5074e-01  7.6661e-02  0:16:45  839
   162  5.7629e-04  4.1031e-08  1.9681e-08  2.6543e-04  3.3429e-05  5.5076e-01  7.6661e-02  0:16:10  838
   163  5.3328e-04  3.9262e-08  1.8244e-08  2.6184e-04  3.1869e-05  5.5077e-01  7.6662e-02  0:15:43  837
